name,lat,lon
American Goldfind,37.15030177,-88.12425451
American Robin,34.6514642,-94.37959331
Fox Sparrow,38.04933167,-122.666536
House Finch,37.54043135,-113.03
Pine Siskin,38.6009354,-103.9898568
Purple Finch,35.6165605,-89.412075
Pygmy Nuthatch,42.539707,-119.8958095
Red-breasted Merganser,35.51491863,-79.46984974
Ring-billed Gull,36.11045299,-88.08376399
Ring-necked Duck,32.56502888,-93.09652129
Snow Goose,34.05038102,-93.0487082
Steller's Jay,37.81,-122.23
Varied Thrush,39.86216278,-122.9085587
Wild Turkey,28.11,-97.42
