year,india,us,uk,china,japan
1969,541844848,202677000,55441750,796025000,103172000
1974,607446519,213854000,56229974,900350000,110162000
1979,681358553,225055000,56246951,969005000,115870000
1984,764664278,235825000,56422072,1036825000,120018000
1989,852736160,246819000,57076711,1118650000,123116000
1994,942604211,263126000,57865745,1191835000,124961000
1999,1034976626,279040000,58682466,1252735000,126631000
2004,1126419321,292805298,59987905,1296075000,127761000
2009,1214182182,306771529,62276270,1331260000,128047000
2014,1295291543,318857056,64559135,1364270000,127131800
